accession_genbank	database	isol_env	host_species	oxygen_tolerance	dependent	oxygen_requirement	classification
GCA_000493735	tempura	Ice		anaerobe		anaerobic	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A inhibens
GCA_000495635	marref		Animal host	0			#N/A
GCA_000495755	marref		Animal host	0			d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces albidoflavus
GCA_000495775	bacdive	Tundra	0	0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__Asticcacaulis benevestitus
GCA_000496735	bacdive	Freshwater sediment	0	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus morosus
GCA_000497875	mardb	Marine sediment		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arctica
GCA_000497895	mardb	Marine sediment		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arctica
GCA_000497915	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas arctica
GCA_000497935	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas distincta
GCA_000497975	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas tetraodonis
GCA_000497995	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas distincta
GCA_000498055	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas atlantica
GCA_000498095	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas sp000498095
GCA_000508345	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp000511655
GCA_000511045	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter okhotskensis
GCA_000511065	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter okhotskensis
GCA_000511635	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter okhotskensis
GCA_000511655	mardb		Animal host	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp000511655
GCA_000521805	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas ushuaiensis
GCA_000524475	bacdive	Ice	0	aerobe		aerobe	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Tomitella;s__Tomitella biformata
GCA_000582475	bacdive	Soil	0	0			d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__Nesterenkonia aurantiaca
GCA_000582555	marref	Marine		aerobe		aerobe	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-6294;g__Thalassolituus;s__Thalassolituus oleivorans
GCA_000598065	bacdive	Soil	0	0			d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_I;s__Paenibacillus_I darwinianus
GCA_000621125	bacdive	Sea ice	0	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__Maribacter antarcticus
GCA_000682695	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonas chukchiensis
GCA_000687935	bacdive	Marine	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter sp000687935
GCA_000688255	bacdive	0	0	0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria psychrophila
GCA_000688335	bacdive	Marine	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroserpens;s__Psychroserpens sp000688335
GCA_000699505	bacdive	Freshwater	0	0			d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__Rhodoluna lacicola
GCA_000701405	bacdive	Geologic	0	aerobe		aerobe	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus marmoris
GCA_000701425	bacdive	Soil	0	0			d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus frigens
GCA_000708285	bacdive	Soil	0	aerobe		aerobe	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter borealis
GCA_000723205	bacdive	Marine	Pyramimonas gelidicola	facultative anaerobe	facultative	anaerobic	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Formosa;s__Formosa agariphila
GCA_000733945	bacdive	Marine	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella sp000733945
GCA_000738085	bacdive	Glacier Ice	0	0			d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__Cryobacterium sp000738085
GCA_000738935	mardb	Marine		0			d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas tetraodonis
GCA_000744115	bacdive	Salt water lake	0	aerobe		aerobe	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A alterfunditum
GCA_000744185	bacdive	Salt water lake	0	0			d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A funditum
GCA_000744285	bacdive	Ice	0	anaerobe		anaerobic	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A pleistocenium
GCA_000745185	bacdive	Marine	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda sp000745185
GCA_000745315	bacdive	Marine	0	0			d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter sp000745315
